ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
KIR,1735.018358,1788.505421,1715.765331,1642.762597,1542.57525,1584.807446,1640.500104,1698.256286,1655.078839
KNA,16539.76901,16046.48694,16686.02118,18051.17903,18028.97343,18810.48765,19158.7448,19276.52127,19934.97453
KOR,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33422.94421,31846.21823
KWT,48631.6913,51979.10517,49388.13741,44062.31704,29869.52939,27653.06677,29759.43649,33994.38192,32000.44847
LAC,9882.387959,9837.430779,9948.781209,10075.72552,8475.776301,8155.110618,9005.799324,8593.741441,8390.062921
LAO,1378.361365,1581.395403,1825.665113,1998.335215,2134.711796,2308.800482,2423.846203,2542.486528,2534.89828
LBN,7674.83535,7950.695378,7931.080476,7686.25603,7644.548657,7629.891117,7801.178658,8024.803271,7583.694722
LBR,596.8970811,657.9362563,721.9300554,721.1827948,710.3838577,714.6233922,698.7017644,677.3221785,621.8929536
LBY,5554.179164,13025.28139,10363.78949,6466.91027,4337.919139,4035.194316,5756.69845,7877.122251,7685.949267
LCA,8983.436673,9086.799462,9378.562363,9843.915819,10093.89976,10361.8141,11047.44499,11357.88901,11611.41545
LCN,10204.63395,10198.39942,10337.77521,10430.58319,8884.945429,8589.628288,9448.255285,9092.678625,8869.895624
LDC,909.2730066,942.4242834,1004.25339,1059.646708,1026.911616,986.6597263,1047.708059,1063.167911,1079.204614
LIC,784.355667,803.903671,859.2710392,896.7139238,884.7883101,790.1617085,792.8262941,795.9571164,810.0948534
LIE,158156.5998,149010.2249,173058.3174,178845.631,167290.94,165629.1905,173356.0513,181402.83,
LKA,3200.833829,3350.521876,3610.289363,3819.25353,3843.780672,3886.291502,4077.043721,4080.567125,3853.083693
LMC,1708.697589,1775.966869,1842.809448,1929.08192,1884.581757,1921.074162,2037.373649,2091.389002,2174.435571
LMY,4169.288175,4396.133606,4596.187899,4708.906498,4417.789209,4383.454921,4753.275699,5001.687973,5070.697597
LSO,1308.690069,1253.696204,1193.713255,1223.333034,1152.139829,1043.569791,1150.079174,1221.883763,1118.131284
LTE,7502.298842,7978.121738,8547.207149,8818.097998,8218.989904,8188.047833,9029.71169,9838.434043,9971.857112
LTU,14392.53426,14373.06052,15726.62683,16564.95655,14258.22933,14998.12506,16885.40739,19176.17652,19601.89083
LUX,115761.5077,106749.0136,113625.1329,118823.6484,101376.4966,104278.391,107627.151,116654.2611,114704.5942
LVA,13895.16257,13926.34731,15120.78189,15713.53697,13774.60527,14315.79289,15682.22145,17858.27998,17828.89466
MAC,66644.38534,76291.84749,89287.45402,93777.1068,75340.98698,74061.08603,81516.67492,87208.53591,84096.39631
MAF,,,,,,,,,
MAR,3046.949136,2912.658275,3121.681176,3171.699192,2875.257985,2896.720003,3036.325255,3222.200634,3204.095003
MCO,169020.8878,157515.8991,177664.1156,189422.2188,166011.5091,170028.6557,167517.0597,185829.018,
MDA,2942.255949,3045.739874,3322.038436,3328.801449,2732.457113,2880.439281,3509.69345,4233.743437,4503.516985
MDG,531.2655718,518.1529543,541.0662,530.8613457,467.2353994,475.9554172,515.2927249,527.5013261,523.3590645
MDV,7291.42764,7265.613656,7928.457365,8499.365756,9033.439867,9209.244727,9577.625194,10276.93282,10626.5134
MEA,8327.377895,8897.037306,8655.902047,8541.767481,7383.279894,7277.532087,7416.585843,7943.946907,7991.092103
MEX,10203.42085,10241.72792,10725.18332,10928.91683,9616.645006,8744.515772,9287.849736,9686.513783,9946.033829
MHL,3083.83188,3224.338382,3296.698163,3230.02326,3213.837288,3473.775006,3666.695374,3788.163594,
MIC,4518.535708,4771.642403,4992.770279,5119.581308,4804.804293,4780.825878,5196.351207,5478.703541,5561.927576
MKD,5063.786986,4698.141294,5210.67583,5468.480869,4840.273123,5129.15896,5430.87421,6088.972445,6022.216179
MLI,837.6034406,778.6192858,805.0328382,848.2740537,751.4747889,780.7185985,830.0183674,894.8021869,879.0080104
MLT,23155.55477,22527.63686,24771.07668,26754.26859,24921.60357,25617.82691,28091.86165,30437.22151,29820.60325
MMR,1176.242453,1165.794329,1162.33144,1251.820765,1287.430487,1266.546338,1291.542413,1418.177623,1407.813143
MNA,4624.700043,5013.401358,4609.291707,4472.138824,3956.894083,3942.961844,3815.062356,3970.848245,
MNE,7329.026063,6586.456756,7186.819262,7378.044404,6514.569188,7028.663454,7784.087912,8846.056525,8908.934792
MNG,3757.558633,4351.88692,4366.075901,4158.525715,3918.579174,3660.150746,3669.41754,4134.987198,4339.843279
MNP,13571.05828,13827.7697,14274.24065,15278.90787,16690.5701,22246.74308,28305.22259,23258.67586,
MOZ,594.5864667,657.6453378,664.0782118,673.9699555,589.8590281,428.926488,461.4150941,503.3187272,503.5707727
MRT,1879.771427,1815.219429,1892.095487,1677.108166,1524.072883,1536.85415,1578.114174,1600.876469,1679.444873
MUS,9197.026972,9291.227619,9637.00265,10153.93822,9260.447303,9681.618567,10484.90836,11208.34382,11099.24028
MWI,534.9512647,391.5618324,348.4302696,371.2697496,380.5970331,315.7773264,356.7175732,381.2589876,411.5523404
MYS,10399.37275,10817.44287,10970.12328,11319.07976,9955.243708,9817.738457,10259.18178,11377.455,11414.20698
NAC,50114.18463,51725.6371,53079.78251,54654.93266,55519.93503,56388.85542,58563.83861,61304.64302,63343.34505
NAM,5723.32549,5942.218604,5377.727318,5435.17196,4869.378373,4523.091281,5303.309171,5495.428925,4957.458222
NCL,,,,,,,,,
NER,512.5956046,529.744994,552.5700945,564.5974824,484.2386326,498.1041639,517.9750301,572.4271543,553.8950504
NGA,2487.598154,2723.822777,2961.550284,3098.9863,2687.480145,2176.002245,1968.564738,2027.777979,2229.858696
NIC,1655.801824,1760.468584,1811.632521,1934.063237,2049.84969,2107.572722,2159.157868,2020.55193,1912.903745
NLD,54159.34661,50073.00566,52184.06185,52830.17423,45175.23189,46007.85292,48675.22234,53044.53244,52331.31673
NOR,100600.5624,101524.1419,102913.4508,97019.18275,74355.51586,70459.1825,75496.75406,81734.46557,75419.63487
NPL,699.4293377,698.4664794,715.923743,743.4133813,792.5528906,777.1475955,911.4442665,1038.651647,1071.050761
NRU,6568.102582,9429.633377,9101.91698,8829.356719,6956.253801,7670.116404,8510.868408,9762.389302,9396.981967
NZL,38437.54316,39982.7543,42962.98821,44553.28221,38615.99518,40105.61339,42849.42632,42949.93058,42084.35337
